Station	Layer	Longitude	Latitude	Synechococcus abundance (cell/mL)	Prochlorococcus abundance (cell/mL)	Picoeukaryote abundance (cell/mL)	Synechococcus average diameter (µm)	Prochlorococcus average diameter (µm)	Picoeukaryotes average diameter (µm)	Synechococcus average cell biovolume (µm3)	Prochlorococcus average cell biovolume (µm3)	Picoeukaryotes average cell biovolume (µm3)	Synechococcus total biovolume (µm3)	Prochlorococcus total biovolume (µm3)	Picoeukatyors total biovolume (µm3)
100	Deep chlorophyll maximum	-96.5	-13.4	2014	94715	4833	1.643	0.684	1.361	2.328	0.168	1.32	4680.66	15846	6372.68
100	Surface	-96.5	-13.4	5869	149920	5328	1.551	0.36	1.207	1.954	0.024	0.921	11469.65	3670.23	4909.4
102	Deep chlorophyll maximum	-85.1	-5.2	69836	177111	11630	0.928	0.683	1.285	0.419	0.167	1.112	29260.39	29559.87	12930.41
102	Surface	-85.1	-5.2	47849	144486	17287	1.274	0.498	1.306	1.083	0.065	1.166	51831.67	9359.66	20148.84
106	Deep chlorophyll maximum	-84.5	0.5	4066	66618	2018	1.411	0.995	1.438	1.47	0.515	1.556	5976.85	34316.49	3138.46
106	Surface	-84.5	0.5	26763	131517	8987	0.965	0.505	1.297	0.47	0.067	1.143	12573.36	8858.17	10270.74
109	Deep chlorophyll maximum	-84.5	-1.9	25023	155441		1.257	0.78	1.412	1.04	0.249	1.474	26016.39	38647.33	0
109	Surface	-84.5	-1.9	13913	0	8577							0	0	0
110	Surface	-98.6	-13.1	38655	151257	12656	1.275	0.468	1.268	1.084	0.054	1.068	41913.8	8120.13	13512.47
111	Deep chlorophyll maximum	-99.5	-15.6	1253	86030	2476	1.342	0.84	1.446	1.265	0.31	1.583	1585.78	26669.32	3919.39
111	Surface	-99.5	-15.6	7054	105304	5839	1.736	0.476	1.349	2.739	0.057	1.284	19319.71	5956.17	7498.72
112	Deep chlorophyll maximum	-131.8	-23.2	0	106641	604		0.601	1.288		0.114	1.12	0	12138.8	676.21
112	Surface	-131.8	-23.2	466	117600	321	2.167	0.353	1.946	5.326	0.023	3.857	2482.84	2699.92	1238.16
