run_accession	sample_title
ERR1726746	TARA_20100330T0936Z_041_EVENT_NET_N1+N2_D_(70 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000078
ERR1726750	TARA_20111023T1803Z_135_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002193
ERR1726751	TARA_20100109T0737Z_031_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100001432
ERR1726756	TARA_20120324T0813Z_153_EVENT_PUMP_P_X_(25 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000002817
ERR1726758	TARA_20101129T1906Z_080_EVENT_NET_N1+N2_D_(85 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000001473
ERR1726760	TARA_20110512T2215Z_109_EVENT_PUMP_P_D_(30 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001728
ERR1726761	TARA_20120320T0851Z_152_Combined-EVENTS_CAST_MB_X_(25 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002480
ERR1726762	TARA_20110731T1720Z_123_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000001972
ERR1726771	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_MB_D_(90 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001820
ERR1726772	TARA_20120301T1459Z_149_EVENT_NET_N1_S_(5 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002137
ERR1726776	TARA_20111130T1716Z_136_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002967
ERR1726778	TARA_20110614T1920Z_112_EVENT_NET_N1+N2_D_(165 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001884
ERR1726780	TARA_20101016T1953Z_076_EVENT_NET_N1_D_(150 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000000868
ERR1726782	TARA_20111004T2012Z_132_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002400
ERR1726783	TARA_20120305T1957Z_150_EVENT_NET_N1+N2_D_(40 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002719
ERR1726785	TARA_20110701T0744Z_117_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001918
ERR1726788	TARA_20110512T1400Z_109_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001738
ERR1726794	TARA_20100312T1024Z_036_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000313
ERR1726795	TARA_20110904T2050Z_128_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002301
ERR1726799	TARA_20110127T1028Z_089_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000001221
ERR1726800	TARA_20100712T1030Z_065_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000968
ERR1726807	TARA_20110512T1400Z_109_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001727
ERR1726810	TARA_20091116T1953Z_022_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_A100000536
